Date : 2025-06-17 11:42:06
Directory : /home/ysh/LSM/rocksdb
Total : 1952 files,  603196 codes, 135051 comments, 102746 blanks, all 840993 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| java/src/test/java/org/rocksdb/util                                                                        |         14 |      1,741 |        307 |        312 |      2,360 |
| logging                                                                                                    |         11 |      1,533 |        296 |        324 |      2,153 |
| memory                                                                                                     |         14 |      1,309 |        275 |        272 |      1,856 |
| memtable                                                                                                   |         15 |      4,695 |      1,147 |        832 |      6,674 |
| microbench                                                                                                 |          4 |      1,553 |         93 |        210 |      1,856 |
| monitoring                                                                                                 |         31 |      3,670 |        590 |        706 |      4,966 |
| options                                                                                                    |         19 |     14,075 |      1,034 |      1,337 |     16,446 |
| plugin                                                                                                     |          1 |         28 |          0 |         16 |         44 |
| port                                                                                                       |         30 |      4,608 |        908 |      1,256 |      6,772 |
| port (Files)                                                                                               |         16 |      1,100 |        335 |        281 |      1,716 |
| port/win                                                                                                   |         14 |      3,508 |        573 |        975 |      5,056 |
| table                                                                                                      |        127 |     38,816 |      7,773 |      5,865 |     52,454 |
| table (Files)                                                                                              |         44 |     15,913 |      2,859 |      2,327 |     21,099 |
| table/adaptive                                                                                             |          2 |        145 |          8 |         27 |        180 |
| table/block_based                                                                                          |         61 |     18,200 |      4,143 |      2,844 |     25,187 |
| table/cuckoo                                                                                               |          8 |      2,142 |        216 |        241 |      2,599 |
| table/plain                                                                                                |         12 |      2,416 |        547 |        426 |      3,389 |
| test_util                                                                                                  |         15 |      2,528 |        387 |        486 |      3,401 |
| third-party                                                                                                |          5 |     22,159 |      7,948 |      3,838 |     33,945 |
| third-party/gcc                                                                                            |          1 |        322 |         36 |         33 |        391 |
| third-party/gtest-1.8.1                                                                                    |          4 |     21,837 |      7,912 |      3,805 |     33,554 |
| third-party/gtest-1.8.1/fused-src                                                                          |          4 |     21,837 |      7,912 |      3,805 |     33,554 |
| third-party/gtest-1.8.1/fused-src/gtest                                                                    |          4 |     21,837 |      7,912 |      3,805 |     33,554 |
| tools                                                                                                      |         89 |     33,289 |      3,525 |      4,246 |     41,060 |
| tools (Files)                                                                                              |         51 |     23,940 |      2,510 |      3,279 |     29,729 |
| tools/advisor                                                                                              |         26 |      2,874 |        481 |        424 |      3,779 |
| tools/advisor (Files)                                                                                      |          1 |         77 |          0 |         20 |         97 |
| tools/advisor/advisor                                                                                      |         13 |      1,973 |        420 |        258 |      2,651 |
| tools/advisor/test                                                                                         |         12 |        824 |         61 |        146 |      1,031 |
| tools/advisor/test (Files)                                                                                 |          6 |        653 |         61 |         89 |        803 |
| tools/advisor/test/input_files                                                                             |          6 |        171 |          0 |         57 |        228 |
| tools/block_cache_analyzer                                                                                 |          9 |      6,159 |        521 |        487 |      7,167 |
| tools/dump                                                                                                 |          3 |        316 |         13 |         56 |        385 |
| trace_replay                                                                                               |         12 |      2,716 |        316 |        393 |      3,425 |
| unreleased_history                                                                                         |          5 |        106 |         22 |         24 |        152 |
| unreleased_history (Files)                                                                                 |          2 |        103 |         22 |         21 |        146 |
| unreleased_history/behavior_changes                                                                        |          1 |          1 |          0 |          1 |          2 |
| unreleased_history/new_features                                                                            |          2 |          2 |          0 |          2 |          4 |
| util                                                                                                       |        115 |     25,664 |      8,766 |      4,910 |     39,340 |
| utilities                                                                                                  |        226 |     68,888 |     12,160 |     13,378 |     94,426 |
| utilities (Files)                                                                                          |         27 |      5,985 |        584 |        931 |      7,500 |
| utilities/agg_merge                                                                                        |          5 |        456 |         46 |         74 |        576 |
| utilities/backup                                                                                           |          3 |      6,560 |      1,183 |        952 |      8,695 |
| utilities/blob_db                                                                                          |         15 |      5,778 |        616 |      1,162 |      7,556 |
| utilities/cassandra                                                                                        |         14 |      1,624 |        176 |        348 |      2,148 |
| utilities/checkpoint                                                                                       |          3 |      1,351 |        116 |        186 |      1,653 |
| utilities/compaction_filters                                                                               |          3 |         49 |         17 |         26 |         92 |
| utilities/convenience                                                                                      |          1 |         14 |          8 |          5 |         27 |
| utilities/leveldb_options                                                                                  |          1 |         41 |          8 |          9 |         58 |
| utilities/memory                                                                                           |          2 |        235 |         33 |         36 |        304 |
| utilities/merge_operators                                                                                  |         15 |      1,026 |        203 |        268 |      1,497 |
| utilities/merge_operators (Files)                                                                          |         10 |        377 |         80 |        108 |        565 |
| utilities/merge_operators/string_append                                                                    |          5 |        649 |        123 |        160 |        932 |
| utilities/option_change_migration                                                                          |          2 |        609 |         68 |         59 |        736 |
| utilities/options                                                                                          |          2 |        706 |         69 |        125 |        900 |
| utilities/persistent_cache                                                                                 |         20 |      3,189 |        810 |        749 |      4,748 |
| utilities/secondary_index                                                                                  |          6 |      1,165 |         56 |        332 |      1,553 |
| utilities/simulator_cache                                                                                  |          5 |      1,280 |        149 |        192 |      1,621 |
| utilities/table_properties_collectors                                                                      |          6 |        722 |         86 |        100 |        908 |
| utilities/trace                                                                                            |          4 |        420 |         70 |         90 |        580 |
| utilities/transactions                                                                                     |         85 |     30,669 |      7,338 |      6,523 |     44,530 |
| utilities/transactions (Files)                                                                             |         30 |     22,474 |      3,247 |      4,518 |     30,239 |
| utilities/transactions/lock                                                                                |         55 |      8,195 |      4,091 |      2,005 |     14,291 |
| utilities/transactions/lock (Files)                                                                        |          3 |        124 |        132 |         58 |        314 |
| utilities/transactions/lock/point                                                                          |          6 |      1,274 |        225 |        316 |      1,815 |
| utilities/transactions/lock/range                                                                          |         46 |      6,797 |      3,734 |      1,631 |     12,162 |
| utilities/transactions/lock/range (Files)                                                                  |          2 |        326 |         59 |         98 |        483 |
| utilities/transactions/lock/range/range_tree                                                               |         44 |      6,471 |      3,675 |      1,533 |     11,679 |
| utilities/transactions/lock/range/range_tree (Files)                                                       |          4 |        613 |        157 |        172 |        942 |
| utilities/transactions/lock/range/range_tree/lib                                                           |         40 |      5,858 |      3,518 |      1,361 |     10,737 |
| utilities/transactions/lock/range/range_tree/lib (Files)                                                   |          2 |        164 |         28 |         30 |        222 |
| utilities/transactions/lock/range/range_tree/lib/ft                                                        |          2 |         98 |        110 |         34 |        242 |
| utilities/transactions/lock/range/range_tree/lib/locktree                                                  |         17 |      2,846 |      1,822 |        733 |      5,401 |
| utilities/transactions/lock/range/range_tree/lib/portability                                               |         10 |        962 |        571 |        252 |      1,785 |
| utilities/transactions/lock/range/range_tree/lib/util                                                      |          9 |      1,788 |        987 |        312 |      3,087 |
| utilities/ttl                                                                                              |          3 |      1,459 |        105 |        247 |      1,811 |
| utilities/write_batch_with_index                                                                           |          4 |      5,550 |        419 |        964 |      6,933 |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                                   | language     | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| /home/ysh/LSM/rocksdb/.github/actions/build-folly/action.yml                                               | YAML         |          7 |          0 |          1 |          8 |
| /home/ysh/LSM/rocksdb/.github/actions/build-for-benchmarks/action.yml                                      | YAML         |          8 |          0 |          1 |          9 |
| /home/ysh/LSM/rocksdb/.github/actions/increase-max-open-files-on-macos/action.yml                          | YAML         |         10 |          0 |          1 |         11 |
| /home/ysh/LSM/rocksdb/.github/actions/install-gflags-on-macos/action.yml                                   | YAML         |          7 |          0 |          1 |          8 |
| /home/ysh/LSM/rocksdb/.github/actions/install-gflags/action.yml                                            | YAML         |          7 |          0 |          1 |          8 |
| /home/ysh/LSM/rocksdb/.github/actions/install-jdk8-on-macos/action.yml                                     | YAML         |          9 |          0 |          1 |         10 |
| /home/ysh/LSM/rocksdb/.github/actions/install-maven/action.yml                                             | YAML         |         11 |          0 |          1 |         12 |
| /home/ysh/LSM/rocksdb/.github/actions/perform-benchmarks/action.yml                                        | YAML         |         22 |          0 |          1 |         23 |
| /home/ysh/LSM/rocksdb/.github/actions/post-benchmarks/action.yml                                           | YAML         |         17 |          0 |          1 |         18 |
| /home/ysh/LSM/rocksdb/.github/actions/post-steps/action.yml                                                | YAML         |         38 |          0 |          1 |         39 |
| /home/ysh/LSM/rocksdb/.github/actions/pre-steps-macos/action.yml                                           | YAML         |          5 |          0 |          1 |          6 |
| /home/ysh/LSM/rocksdb/.github/actions/pre-steps/action.yml                                                 | YAML         |         18 |          0 |          1 |         19 |
| /home/ysh/LSM/rocksdb/.github/actions/setup-folly/action.yml                                               | YAML         |          7 |          0 |          1 |          8 |
| /home/ysh/LSM/rocksdb/.github/actions/setup-upstream/action.yml                                            | YAML         |         16 |          4 |          1 |         21 |
| /home/ysh/LSM/rocksdb/.github/actions/windows-build-steps/action.yml                                       | YAML         |         53 |          1 |          1 |         55 |
| /home/ysh/LSM/rocksdb/.github/workflows/benchmark-linux.yml                                                | YAML         |         12 |          3 |          1 |         16 |
| /home/ysh/LSM/rocksdb/.github/workflows/nightly-candidate.yml                                              | YAML         |         17 |          2 |          1 |         20 |
| /home/ysh/LSM/rocksdb/.github/workflows/nightly.yml                                                        | YAML         |        112 |          0 |          1 |        113 |
| /home/ysh/LSM/rocksdb/.github/workflows/pr-jobs-candidate.yml                                              | YAML         |         44 |          3 |          1 |         48 |
| /home/ysh/LSM/rocksdb/.github/workflows/pr-jobs.yml                                                        | YAML         |        598 |         41 |          2 |        641 |
| /home/ysh/LSM/rocksdb/.lgtm.yml                                                                            | YAML         |          4 |          0 |          1 |          5 |
| /home/ysh/LSM/rocksdb/CMakeLists.txt                                                                       | CMake        |      1,524 |          0 |        125 |      1,649 |
| /home/ysh/LSM/rocksdb/CODE_OF_CONDUCT.md                                                                   | Markdown     |         57 |          0 |         21 |         78 |
| /home/ysh/LSM/rocksdb/CONTRIBUTING.md                                                                      | Markdown     |         12 |          0 |          6 |         18 |
| /home/ysh/LSM/rocksdb/DEFAULT_OPTIONS_HISTORY.md                                                           | Markdown     |         20 |          0 |          5 |         25 |
| /home/ysh/LSM/rocksdb/DUMP_FORMAT.md                                                                       | Markdown     |         10 |          0 |          7 |         17 |
| /home/ysh/LSM/rocksdb/HISTORY.md                                                                           | Markdown     |      2,558 |          0 |        452 |      3,010 |
| /home/ysh/LSM/rocksdb/INSTALL.md                                                                           | Markdown     |        162 |          0 |         63 |        225 |
| /home/ysh/LSM/rocksdb/LANGUAGE-BINDINGS.md                                                                 | Markdown     |         26 |          0 |          2 |         28 |
| /home/ysh/LSM/rocksdb/Makefile                                                                             | Makefile     |      1,850 |        257 |        532 |      2,639 |
| /home/ysh/LSM/rocksdb/PLUGINS.md                                                                           | Markdown     |          8 |          0 |          1 |          9 |
| /home/ysh/LSM/rocksdb/README.md                                                                            | Markdown     |         20 |          0 |         10 |         30 |
| /home/ysh/LSM/rocksdb/USERS.md                                                                             | Markdown     |        116 |          0 |         56 |        172 |
| /home/ysh/LSM/rocksdb/Vagrantfile                                                                          | Ruby         |         29 |          3 |          8 |         40 |
| /home/ysh/LSM/rocksdb/WINDOWS_PORT.md                                                                      | Markdown     |        145 |          0 |         84 |        229 |
| /home/ysh/LSM/rocksdb/buckifier/bench-slow.json                                                            | JSON         |      6,163 |          0 |          1 |      6,164 |
| /home/ysh/LSM/rocksdb/buckifier/bench.json                                                                 | JSON         |      1,594 |          0 |          1 |      1,595 |
| /home/ysh/LSM/rocksdb/buckifier/buckify_rocksdb.py                                                         | Python       |        280 |         56 |         44 |        380 |
| /home/ysh/LSM/rocksdb/buckifier/check_buck_targets.sh                                                      | Shell Script |         33 |          2 |         10 |         45 |
| /home/ysh/LSM/rocksdb/buckifier/rocks_test_runner.sh                                                       | Shell Script |          2 |          4 |          1 |          7 |
| /home/ysh/LSM/rocksdb/buckifier/targets_builder.py                                                         | Python       |        104 |         53 |         14 |        171 |
| /home/ysh/LSM/rocksdb/buckifier/targets_cfg.py                                                             | Python       |         33 |          1 |         10 |         44 |
| /home/ysh/LSM/rocksdb/buckifier/util.py                                                                    | Python       |         80 |         15 |         23 |        118 |
| /home/ysh/LSM/rocksdb/build_tools/amalgamate.py                                                            | Python       |        122 |         28 |         18 |        168 |
| /home/ysh/LSM/rocksdb/build_tools/benchmark_log_tool.py                                                    | Python       |        179 |         27 |         33 |        239 |
| /home/ysh/LSM/rocksdb/build_tools/check-sources.sh                                                         | Shell Script |         36 |          4 |          9 |         49 |
| /home/ysh/LSM/rocksdb/build_tools/dependencies_platform010.sh                                              | Shell Script |         20 |          2 |          1 |         23 |
| /home/ysh/LSM/rocksdb/build_tools/dockerbuild.sh                                                           | Shell Script |          1 |          2 |          1 |          4 |
| /home/ysh/LSM/rocksdb/build_tools/error_filter.py                                                          | Python       |        114 |         26 |         41 |        181 |
| /home/ysh/LSM/rocksdb/build_tools/fb_compile_mongo.sh                                                      | Shell Script |         40 |          7 |          9 |         56 |
| /home/ysh/LSM/rocksdb/build_tools/fbcode_config.sh                                                         | Shell Script |        121 |         21 |         34 |        176 |
| /home/ysh/LSM/rocksdb/build_tools/fbcode_config_platform010.sh                                             | Shell Script |        118 |         23 |         35 |        176 |
| /home/ysh/LSM/rocksdb/build_tools/format-diff.sh                                                           | Shell Script |        142 |         48 |         17 |        207 |
| /home/ysh/LSM/rocksdb/build_tools/make_package.sh                                                          | Shell Script |        104 |          9 |         17 |        130 |
| /home/ysh/LSM/rocksdb/build_tools/regression_build_test.sh                                                 | Shell Script |        339 |         24 |         34 |        397 |
| /home/ysh/LSM/rocksdb/build_tools/run_ci_db_test.ps1                                                       | PowerShell   |        303 |        104 |         87 |        494 |
| /home/ysh/LSM/rocksdb/build_tools/setup_centos7.sh                                                         | Shell Script |         32 |          2 |         12 |         46 |
| /home/ysh/LSM/rocksdb/build_tools/ubuntu20_image/Dockerfile                                                | Docker       |         34 |         19 |          5 |         58 |
| /home/ysh/LSM/rocksdb/build_tools/update_dependencies.sh                                                   | Shell Script |         64 |         20 |         23 |        107 |
