"filename", "language", "Markdown", "Makefile", "C++", "HTML", "XML", "Shell Script", "C", "Java", "CMake", "Ruby", "SCSS", "YAML", "Python", "JSON", "PowerShell", "Docker", "Ini", "comment", "blank", "total"
"/home/ysh/LSM/rocksdb/.github/actions/build-folly/action.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"/home/ysh/LSM/rocksdb/.github/actions/build-for-benchmarks/action.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"/home/ysh/LSM/rocksdb/.github/actions/increase-max-open-files-on-macos/action.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"/home/ysh/LSM/rocksdb/.github/actions/install-gflags-on-macos/action.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"/home/ysh/LSM/rocksdb/.github/actions/install-gflags/action.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"/home/ysh/LSM/rocksdb/.github/actions/install-jdk8-on-macos/action.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"/home/ysh/LSM/rocksdb/.github/actions/install-maven/action.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"/home/ysh/LSM/rocksdb/.github/actions/perform-benchmarks/action.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 1, 23
"/home/ysh/LSM/rocksdb/.github/actions/post-benchmarks/action.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 1, 18
"/home/ysh/LSM/rocksdb/.github/actions/post-steps/action.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 1, 39
"/home/ysh/LSM/rocksdb/.github/actions/pre-steps-macos/action.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"/home/ysh/LSM/rocksdb/.github/actions/pre-steps/action.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 1, 19
"/home/ysh/LSM/rocksdb/.github/actions/setup-folly/action.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"/home/ysh/LSM/rocksdb/.github/actions/setup-upstream/action.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 4, 1, 21
"/home/ysh/LSM/rocksdb/.github/actions/windows-build-steps/action.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 1, 1, 55
"/home/ysh/LSM/rocksdb/.github/workflows/benchmark-linux.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 3, 1, 16
"/home/ysh/LSM/rocksdb/.github/workflows/nightly-candidate.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 2, 1, 20
"/home/ysh/LSM/rocksdb/.github/workflows/nightly.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 1, 113
"/home/ysh/LSM/rocksdb/.github/workflows/pr-jobs-candidate.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 3, 1, 48
"/home/ysh/LSM/rocksdb/.github/workflows/pr-jobs.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 598, 0, 0, 0, 0, 0, 41, 2, 641
"/home/ysh/LSM/rocksdb/.lgtm.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/home/ysh/LSM/rocksdb/CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 1524, 0, 0, 0, 0, 0, 0, 0, 0, 0, 125, 1649
"/home/ysh/LSM/rocksdb/CODE_OF_CONDUCT.md", "Markdown", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 78
"/home/ysh/LSM/rocksdb/CONTRIBUTING.md", "Markdown", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 18
"/home/ysh/LSM/rocksdb/DEFAULT_OPTIONS_HISTORY.md", "Markdown", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"/home/ysh/LSM/rocksdb/DUMP_FORMAT.md", "Markdown", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"/home/ysh/LSM/rocksdb/HISTORY.md", "Markdown", 2558, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 452, 3010
"/home/ysh/LSM/rocksdb/INSTALL.md", "Markdown", 162, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 225
"/home/ysh/LSM/rocksdb/LANGUAGE-BINDINGS.md", "Markdown", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 28
"/home/ysh/LSM/rocksdb/Makefile", "Makefile", 0, 1850, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 257, 532, 2639
"/home/ysh/LSM/rocksdb/PLUGINS.md", "Markdown", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/home/ysh/LSM/rocksdb/README.md", "Markdown", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 30
"/home/ysh/LSM/rocksdb/USERS.md", "Markdown", 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 172
"/home/ysh/LSM/rocksdb/Vagrantfile", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 3, 8, 40
"/home/ysh/LSM/rocksdb/WINDOWS_PORT.md", "Markdown", 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 229
"/home/ysh/LSM/rocksdb/buckifier/bench-slow.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6163, 0, 0, 0, 0, 1, 6164
"/home/ysh/LSM/rocksdb/buckifier/bench.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1594, 0, 0, 0, 0, 1, 1595
"/home/ysh/LSM/rocksdb/buckifier/buckify_rocksdb.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 280, 0, 0, 0, 0, 56, 44, 380
"/home/ysh/LSM/rocksdb/buckifier/check_buck_targets.sh", "Shell Script", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 45
"/home/ysh/LSM/rocksdb/buckifier/rocks_test_runner.sh", "Shell Script", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 7
